tema,status,observacao,tese
450,OK,,"O § 2º do art. 6º da Lei n. 9.469/1997, que obriga à repartição dos honorários advocatícios, é inaplicável a acordos ou transações celebrados em data anterior à sua vigência."
452,OK,,"Na fase cognitiva, foi assegurado a servidores do Município de São Paulo reajuste de vencimentos, para o mês de fevereiro de 1995, com base nas Leis 10.668/88 e 10.722/89, sem fixação de percentual. A discussão, na fase de liquidação, a respeito dos supervenientes reajustes concedidos pela legislação municipal (Lei 12.397/97) e seus reflexos no cálculo do percentual devido e no cumprimento da condenação imposta envolve exclusivamente interpretação e aplicação de direito local, insuscetível de reexame por recurso especial. Aplicação, por analogia, da Súmula 280 do STF."
453,OK,,"As despesas relativas à remoção, guarda e conservação de veículo apreendido no caso de arrendamento mercantil, independentemente da natureza da infração que deu origem à apreensão do veículo e ainda que haja posterior retomada da posse do bem pelo arrendante, são da responsabilidade do arrendatário, que se equipara ao proprietário enquanto em vigor o contrato de arrendamento (cf. artigo 4º da Resolução Contran nº 149/2003)."
459,OK,,"O recurso adesivo pode ser interposto pelo autor da demanda indenizatória, julgada procedente, quando arbitrado, a título de danos morais, valor inferior ao que era almejado, uma vez configurado o interesse recursal do demandante em ver majorada a condenação, hipótese caracterizadora de sucumbência material."
462,OK,,"No agravo do artigo 522 do CPC, entendendo o Julgador ausente peças necessárias para a compreensão da controvérsia, deverá ser indicado quais são elas, para que o recorrente complemente o instrumento."
471,OK,,"Descabe ação do terceiro prejudicado ajuizada direta e exclusivamente em face da Seguradora do apontado causador do dano. No seguro de responsabilidade civil facultativo a obrigação da Seguradora de ressarcir danos sofridos por terceiros pressupõe a responsabilidade civil do segurado, a qual, de regra, não poderá ser reconhecida em demanda na qual este não interveio, sob pena de vulneração do devido processo legal e da ampla defesa."
474,OK,,"A petição inicial da ação monitória para cobrança de soma em dinheiro deve ser instruída com demonstrativo de débito atualizado até a data do ajuizamento, assegurando-se, na sua ausência ou insuficiência, o direito da parte de supri-la, nos termos do art. 284 do CPC."
480,OK,,"A liquidação e a execução individual de sentença genérica proferida em ação civil coletiva pode ser ajuizada no foro do domicílio do beneficiário, porquanto os efeitos e a eficácia da sentença não estão circunscritos a lindes geográficos, mas aos limites objetivos e subjetivos do que foi decidido, levando-se em conta, para tanto, sempre a extensão do dano e a qualidade dos interesses metaindividuais postos em juízo (arts. 468, 472 e 474, CPC e 93 e 103, CDC)."
481,OK,,"A sentença genérica proferida na ação civil coletiva ajuizada pela Apadeco, que condenou o Banestado ao pagamento dos chamados expurgos inflacionários sobre cadernetas de poupança, dispôs que seus efeitos alcançariam todos os poupadores da instituição financeira do Estado do Paraná. Por isso descabe a alteração do seu alcance em sede de liquidação/execução individual, sob pena de vulneração da coisa julgada. Assim, não se aplica ao caso a limitação contida no art. 2º-A, caput,da Lei n. 9.494/97."
482,OK,,"A sentença genérica prolatada no âmbito da ação civil coletiva, por si, não confere ao vencido o atributo de devedor de 'quantia certa ou já fixada em liquidação' (art. 475-J do CPC), porquanto, 'em caso de procedência do pedido, a condenação será genérica', apenas 'fixando a responsabilidade do réu pelos danos causados' (art. 95 do CDC). A condenação, pois, não se reveste de liquidez necessária ao cumprimento espontâneo do comando sentencial, não sendo aplicável a reprimenda prevista no art. 475-J do CPC."
506,OK,,"Hipótese de ocorrência da preclusão lógica a que se refere o legislador no art. 503 do CPC, segundo o qual 'A parte, que aceitar expressa ou tacitamente a sentença ou a decisão, não poderá recorrer'. Isso porque, apesar da expressa postulação de arbitramento dos honorários na inicial da execução de sentença, não houve pronunciamento do magistrado por ocasião do despacho citatório, sobrevindo petição dos recorridos em momento posterior à citação apenas para postular a retenção do valor dos honorários contratuais, sem reiteração da verba de sucumbência. (...) Ainda que não se trate propriamente de ação autônoma, por compreensão extensiva, incide o enunciado da Súmula 453/STJ quando a parte exequente reitera o pedido formulado na inicial da execução - a fim de arbitrar os honorários advocatícios sucumbenciais - após o pagamento da execução e o consequente arquivamento do feito."
507,OK,,"A multa prevista no artigo 538, parágrafo único, do Código de Processo Civil tem caráter eminentemente administrativo - punindo conduta que ofende a dignidade do tribunal e a função pública do processo -, sendo possível sua cumulação com a sanção prevista nos artigos 17, VII e 18, § 2º, do Código de Processo Civil, de natureza reparatória."
508,OK,,"O representante da Fazenda Pública Municipal (caso dos autos), em sede de execução fiscal e respectivos embargos, possui a prerrogativa de ser intimado pessoalmente, em virtude do disposto no art. 25 da Lei 6.830/80, sendo que tal prerrogativa também é assegurada no segundo grau de jurisdição, razão pela qual não é válida, nessa situação, a intimação efetuada, exclusivamente, por meio da imprensa oficial ou carta registrada."
509,OK,,"Com a atual redação do art. 475-N, inc. I, do CPC, atribuiu-se 'eficácia executiva' às sentenças 'que reconhecem a existência de obrigação de pagar quantia'."
510,OK,,"Não é possível se exigir do Ministério Público o adiantamento de honorários periciais em ações civis públicas. Ocorre que a referida isenção conferida ao Ministério Público em relação ao adiantamento dos honorários periciais não pode obrigar que o perito exerça seu ofício gratuitamente, tampouco transferir ao réu o encargo de financiar ações contra ele movidas. Dessa forma, considera-se aplicável, por analogia, a Súmula n. 232 desta Corte Superior ('A Fazenda Pública, quando parte no processo, fica sujeita à exigência do depósito prévio dos honorários do perito'), a determinar que a Fazenda Pública ao qual se acha vinculado o Parquet arque com tais despesas."
523,OK,,"No caso de cessão de direitos sobre imóvel financiado no âmbito do Sistema Financeiro da Habitação realizada após 25/10/1996, a anuência da instituição financeira mutuante é indispensável para que o cessionário adquira legitimidade ativa para requerer revisão das condições ajustadas, tanto para os contratos garantidos pelo FCVS como para aqueles sem a cobertura do mencionado Fundo."
524,OK,,"Após o oferecimento da contestação, não pode o autor desistir da ação, sem o consentimento do réu (art. 267, § 4º, do CPC), sendo que é legítima a oposição à desistência com fundamento no art. 3º da Lei 9.469/97, razão pela qual, nesse caso, a desistência é condicionada à renúncia expressa ao direito sobre o qual se funda a ação."
525,OK,,"Em execução provisória, descabe o arbitramento de honorários advocatícios em benefício do exequente.Posteriormente, convertendo-se a execução provisória em definitiva, após franquear ao devedor, com precedência, a possibilidade de cumprir, voluntária e tempestivamente, a condenação imposta, deverá o magistrado proceder ao arbitramento dos honorários advocatícios."
526,OK,,"A atribuição de efeitos suspensivos aos embargos do devedor"" fica condicionada ""ao cumprimento de três requisitos: apresentação de garantia; verificação pelo juiz da relevância da fundamentação (fumus boni juris) e perigo de dano irreparável ou de difícil reparação (periculum in mora)."
528,OK,,"Nos contratos de mútuo e financiamento, o devedor não possui interesse de agir para a ação de prestação de contas."
536,OK,,"Na fase de cumprimento de sentença, o devedor deverá ser intimado, na pessoa de seu advogado, mediante publicação na imprensa oficial, para efetuar o pagamento no prazo de 15 (quinze) dias, a partir de quando, caso não o efetue, passará a incidir a multa de 10% (dez por cento) sobre montante da condenação (art. 475-J do CPC)."
537,OK,,"Diante do que dispõe a legislação que disciplina as concessões de serviço público e da peculiar relação envolvendo o Estado-concedente, a concessionária e o consumidor, esse último tem legitimidade para propor ação declaratória c/c repetição de indébito na qual se busca afastar, no tocante ao fornecimento de energia elétrica, a incidência do ICMS sobre a demanda contratada e não utilizada."
539,OK,,Compete à Justiça Estadual processar e julgar litígios instaurados entre entidade de previdência privada e participante de seu plano de benefícios.
552,OK,,"O termo final do prazo para o ajuizamento da ação rescisória, embora decadencial, prorroga-se para o primeiro dia útil subsequente, se recair em dia de não funcionamento da secretaria do Juízo competente."
564,OK,,"Em ação monitória fundada em cheque prescrito, ajuizada em face do emitente, é dispensável menção ao negócio jurídico subjacente à emissão da cártula."
566,OK,,"O prazo de 1 (um) ano de suspensão do processo e do respectivo prazo prescricional previsto no art. 40, §§ 1º e 2º da Lei n. 6.830/80 - LEF tem início automaticamente na data da ciência da Fazenda Pública a respeito da não localização do devedor ou da inexistência de bens penhoráveis no endereço fornecido, havendo, sem prejuízo dessa contagem automática, o dever de o magistrado declarar ter ocorrido a suspensão da execução."
567,OK,,"Havendo ou não petição da Fazenda Pública e havendo ou não pronunciamento judicial nesse sentido, findo o prazo de 1 (um) ano de suspensão inicia-se automaticamente o prazo prescricional aplicável."
568,OK,,"A efetiva constrição patrimonial e a efetiva citação (ainda que por edital) são aptas a interromper o curso da prescrição intercorrente, não bastando para tal o mero peticionamento em juízo, requerendo, v.g., a feitura da penhora sobre ativos financeiros ou sobre outros bens."
569,EXCLUIR,Duplicado conceitual da tese do Tema 567.,"Havendo ou não petição da Fazenda Pública e havendo ou não pronunciamento judicial nesse sentido, findo o prazo de 1 (um) ano de suspensão inicia-se automaticamente o prazo prescricional aplicável."
570,OK,,"A Fazenda Pública, em sua primeira oportunidade de falar nos autos (art. 245 do CPC/73, correspondente ao art. 278 do CPC/2015), ao alegar nulidade pela falta de qualquer intimação dentro do procedimento do art. 40 da LEF, deverá demonstrar o prejuízo que sofreu (exceto a falta da intimação que constitui o termo inicial - 4.1., onde o prejuízo é presumido), por exemplo, deverá demonstrar a ocorrência de qualquer causa interruptiva ou suspensiva da prescrição."
571,EXCLUIR,Duplicado conceitual da tese do Tema 570.,"A Fazenda Pública, em sua primeira oportunidade de falar nos autos (art. 245 do CPC/73, correspondente ao art. 278 do CPC/2015), ao alegar nulidade pela falta de qualquer intimação dentro do procedimento do art. 40 da LEF, deverá demonstrar o prejuízo que sofreu (exceto a falta da intimação que constitui o termo inicial - 4.1., onde o prejuízo é presumido), por exemplo, deverá demonstrar a ocorrência de qualquer causa interruptiva ou suspensiva da prescrição."
572,OK,,"A análise acerca da legalidade da utilização da Tabela Price - mesmo que em abstrato - passa, necessariamente, pela constatação da eventual capitalização de juros (ou incidência de juros compostos, juros sobre juros ou anatocismo), que é questão de fato e não de direito, motivo pelo qual não cabe ao Superior Tribunal de Justiça tal apreciação, em razão dos óbices contidos nas Súmulas 5 e 7 do STJ.É exatamente por isso que, em contratos cuja capitalização de juros seja vedada, é necessária a interpretação de cláusulas contratuais e a produção de prova técnica para aferir a existência da cobrança de juros não lineares, incompatíveis, portanto, com financiamentos celebrados no âmbito do Sistema Financeiro da Habitação antes da vigência da Lei n. 11.977/2009, que acrescentou o art. 15-A à Lei n. 4.380/1964. Em se verificando que matérias de fato ou eminentemente técnicas foram tratadas como exclusivamente de direito, reconhece-se o cerceamento, para que seja realizada a prova pericial."
578,OK,,"Em princípio, nos termos do art. 9°, III, da Lei 6.830/1980, cumpre ao executado nomear bens à penhora, observada a ordem legal. É dele o ônus de comprovar a imperiosa necessidade de afastá-la, e, para que essa providência seja adotada, mostra-se insuficiente a mera invocação genérica do art. 620 do CPC."
580,OK,,"Em execução fiscal ajuizada por Conselho de Fiscalização Profissional, seu representante judicial possui a prerrogativa de ser pessoalmente intimado."
587,OK,,"a) Os embargos do devedor são ação de conhecimento incidental à execução, razão porque os honorários advocatícios podem ser fixados em cada uma das duas ações, de forma relativamente autônoma, respeitando-se os limites de repercussão recíproca entre elas, desde que a cumulação da verba honorária não exceda o limite máximo previsto no § 3º do art. 20 do CPC/1973.b) Inexistência de reciprocidade das obrigações ou de bilateralidade de créditos: ausência dos pressupostos do instituto da compensação (art. 368 do Código Civil). Impossibilidade de se compensarem os honorários fixados em embargos à execução com aqueles fixados na própria ação de execução."
588,OK,,"Constatado que o STF não declarou a inconstitucionalidade de tributo (ADI 3.106/MG), e sim fixou a natureza da relação jurídica como não tributária (não compulsória), afasta-se a imposição irrestrita da repetição de indébito amparada pelos arts. 165 a 168 do CTN.Observadas as características da boa-fé, da voluntariedade e o aspecto sinalagmático dos contratos, a manifestação de vontade do servidor em aderir ao serviço ofertado pelo Estado ou o usufruto da respectiva prestação de saúde geram, em regra, automático direito à contraprestação pecuniária, assim como à repetição de indébito das cobranças nos períodos em que não haja manifestação de vontade do servidor.Considerando a modulação dos efeitos da declaração de inconstitucionalidade exarada pelo STF, até 14.4.2010 a cobrança pelos serviços de saúde é legítima pelo IPSEMG com base na lei estadual, devendo o entendimento aqui exarado incidir a partir do citado marco temporal, quando a manifestação de vontade ou o usufruto dos serviços pelo servidor será requisito para a cobrança.De modo geral, a constatação da formação da relação jurídico-contratual entre o servidor e o Estado de Minas Gerais é tarefa das instâncias ordinárias, já que necessário interpretar a legislação estadual (Súmula 280/STF) e analisar o contexto fático-probatório dos autos (Súmula 7/STJ)."
589,EXCLUIR,Duplicado conceitual da tese do Tema 60.,"Ajuizada ação coletiva atinente a macro-lide geradora de processos multitudinários, suspendem-se as ações individuais, no aguardo do julgamento da ação coletiva."
590,OK,,"As informações sigilosas das partes devem ser juntadas aos autos do processo que correrá em segredo de justiça, não sendo admitido o arquivamento em apartado."
598,OK,,"À mingua de lei expressa, a inscrição em dívida ativa não é a forma de cobrança adequada para os valores indevidamente recebidos a título de benefício previdenciário previstos no art. 115, II, da Lei n. 8.213/91 que devem submeter-se a ação de cobrança por enriquecimento ilícito para apuração da responsabilidade civil."
606,OK,,"Em ação de cobrança objetivando indenização decorrente de Seguro Obrigatório de Danos Pessoais Causados por Veículos Automotores de Vias Terrestres - DPVAT, constitui faculdade do autor escolher entre os seguintes foros para ajuizamento da ação: o do local do acidente ou o do seu domicílio (parágrafo único do art. 100 do Código de Processo Civil); bem como, ainda, o do domicílio do réu(art. 94 do mesmo Diploma)."
608,OK,,"Não há impedimento constitucional, ou mesmo legal, para que os honorários advocatícios, quando não excederem ao valor limite, possam ser executados mediante RPV, ainda que o crédito dito 'principal' observe o regime dos precatórios."
614,OK,,"Inexiste óbices à penhora, em face de dívidas tributárias da matriz, de valores depositados em nome das filiais."
622,OK,,"A aplicação da sanção civil do pagamento em dobro por cobrança judicial de dívida já adimplida (cominação encartada no artigo 1.531 do Código Civil de 1916, reproduzida no artigo 940 do Código Civil de 2002) pode ser postulada pelo réu na própria defesa, independendo da propositura de ação autônoma ou do manejo de reconvenção, sendo imprescindível a demonstração de má-fé do credor."
623,OK,,A discussão quanto à aplicação dos juros e correção monetária nos depósitos judiciais independe de ação específica contra o banco depositário.
629,OK,,"A ausência de conteúdo probatório eficaz a instruir a inicial, conforme determina o art. 283 do CPC, implica a carência de pressuposto de constituição e desenvolvimento válido do processo, impondo sua extinção sem o julgamento do mérito (art. 267, IV do CPC) e a consequente possibilidade de o autor intentar novamente a ação (art. 268 do CPC), caso reúna os elementos necessários à tal iniciativa."
641,OK,,"O prazo para ajuizamento de ação monitória em face do emitente de nota promissória sem força executiva é quinquenal, a contar do dia seguinte ao vencimento do título."
648,OK,,"A propositura de ação cautelar de exibição de documentos bancários (cópias e segunda via de documentos) é cabível como medida preparatória a fim de instruir a ação principal, bastando a demonstração da existência de relação jurídica entre as partes, a comprovação de prévio pedido à instituição financeira não atendido em prazo razoável, e o pagamento do custo do serviço conforme previsão contratual e normatização da autoridade monetária."
649,OK,,A pessoa jurídica não tem legitimidade para interpor recurso no interesse do sócio.
651,OK,,"Considerando a prerrogativa que possui a Fazenda Nacional de ser intimada das decisões, por meio da concessão de vista pessoal e, em atenção ao princípio da instrumentalidade das formas, pode a certidão de concessão de vistas dos autos ser considerada elemento suficiente à demonstração da tempestividade do agravo de instrumento, substituindo a certidão de intimação legalmente prevista."
657,OK,,"O cessionário de contrato de participação financeira tem legitimidade para ajuizar ação de complementação de ações somente na hipótese em que o instrumento de cessão lhe conferir, expressa ou implicitamente, o direito à subscrição de ações, conforme apurado nas instâncias ordinárias."
660,OK,,"""(...)a concessão de benefícios previdenciários depende de requerimento administrativo"", conforme decidiu o Plenário do Supremo Tribunal Federal, no julgamento do RE 631.240/MG, sob o rito do artigo 543-B do CPC, observadas ""as situações de ressalva e fórmula de transição a ser aplicada nas ações já ajuizadas até a conclusão do aludido julgamento (03/9/2014) """
667,OK,,"O cumprimento de sentença condenatória de complementação de ações dispensa, em regra, a fase de liquidação de sentença."
670,OK,,Descabimento da inclusão dos dividendos ou dos juros sobre capital próprio no cumprimento da sentença condenatória à complementação de ações sem expressa previsão no título executivo.
671,OK,,"Na liquidação por cálculos do credor, descabe transferir do exequente para o executado o ônus do pagamento de honorários devidos ao perito que elabora a memória de cálculos."
672,OK,,"Se o credor for beneficiário da gratuidade da justiça, pode-se determinar a elaboração dos cálculos pela contadoria judicial."
673,OK,,"Na hipótese do art. 475-L, § 2º, do CPC, é indispensável apontar, na petição de impugnação ao cumprimento de sentença, a parcela incontroversa do débito, bem como as incorreções encontradas nos cálculos do credor, sob pena de rejeição liminar da petição, não se admitindo emenda à inicial."
674,OK,,"Cancela-se a distribuição da impugnação ao cumprimento de sentença ou dos embargos à execução na hipótese de não recolhimento das custas no prazo de 30 dias, independentemente de prévia intimação da parte."
675,EXCLUIR,Duplicado conceitual da tese do Tema 674.,"Cancela-se a distribuição da impugnação ao cumprimento de sentença ou dos embargos à execução na hipótese de não recolhimento das custas no prazo de 30 dias, independentemente de prévia intimação da parte."
676,OK,,"Não se determina o cancelamento da distribuição se o recolhimento das custas, embora intempestivo, estiver comprovado nos autos."
677,OK,,"""na execução, o depósito efetuado a título de garantia do juízo ou decorrente da penhora de ativos financeiros não isenta o devedor do pagamento dos consectários de sua mora, conforme previstos no título executivo, devendo-se, quando da efetiva entrega do dinheiro ao credor, deduzir do montante final devido o saldo da conta judicial""."
685,OK,,"Os juros de mora incidem a partir da citação do devedor no processo de conhecimento da Ação Civil Pública quando esta se fundar em responsabilidade contratual, cujo inadimplemento já produza a mora, salvo a configuração da mora em momento anterior."
686,OK,,"O chamamento ao processo da União com base no art. 77, III, do CPC, nas demandas propostas contra os demais entes federativos responsáveis para o fornecimento de medicamentos ou prestação de serviços de saúde, não é impositivo, mostrando-se inadequado opor obstáculo inútil à garantia fundamental do cidadão à saúde."
690,OK,,"A declaração de inconstitucionalidade do art. 3°, § 1°, da Lei 9.718/1998, pelo STF, não afasta automaticamente a presunção de certeza e de liquidez da CDA, motivo pelo qual é vedado extinguir de ofício, por esse motivo, a Execução Fiscal."
693,OK,,A competência para processar e julgar as demandas que têm por objeto obrigações decorrentes dos contratos de planos de previdência privada firmados com a Fundação Rede Ferroviária de Seguridade Social (REFER) é da Justiça Estadual.
697,OK,,"A ausência da cópia da certidão de intimação da decisão agravada não é óbice ao conhecimento do Agravo de Instrumento quando, por outros meios inequívocos, for possível aferir a tempestividade do recurso, em atendimento ao princípio da instrumentalidade das formas."
698,OK,,"Caracterizam-se como protelatórios os embargos de declaração que visam rediscutir matéria já apreciada e decidida pela Corte de origem em conformidade com súmula do STJ ou STF ou, ainda, precedente julgado pelo rito dos artigos 543-C e 543-B, do CPC."
701,OK,,"É possível a decretação da ""indisponibilidade de bens do promovido em Ação Civil Pública por Ato de Improbidade Administrativa, quando ausente (ou não demonstrada) a prática de atos (ou a sua tentativa) que induzam a conclusão de risco de alienação, oneração ou dilapidação patrimonial de bens do acionado, dificultando ou impossibilitando o eventual ressarcimento futuro."""
702,OK,,"A mera decretação da quebra não implica extinção da personalidade jurídica do estabelecimento empresarial. Ademais, a massa falida tem exclusivamente personalidade judiciária, sucedendo a empresa em todos os seus direitos e obrigações. Em consequência, o ajuizamento contra a pessoa jurídica, nessas condições, constitui mera irregularidade, sanável nos termos do art. 284 do CPC e do art. 2º, § 8º, da Lei 6.830/1980."
703,OK,,"O entendimento de que o ajuizamento contra a pessoa jurídica cuja falência foi decretada antes do ajuizamento da referida execução fiscal ""constitui mera irregularidade, sanável nos termos do art. 284 do CPC e do art. 2º, § 8º, da Lei 6.830/1980 não viola a orientação fixada pela Súmula 392 do Superior Tribunal Justiça, mas tão somente insere o equívoco ora debatido na extensão do que se pode compreender por 'erro material ou formal', e não como 'modificação do sujeito passivo da execução', expressões essas empregadas pelo referido precedente sumular."
705,OK,,"Descabimento de multa cominatória na exibição, incidental ou autônoma, de documento relativo a direito disponível."
706,OK,,"A decisão que comina <i>astreintes</i> não preclui, não fazendo tampouco coisa julgada."
708,OK,,"É legítima a penhora de apontado bem de família pertencente a fiador de contrato de locação, ante o que dispõe o art. 3º, inciso VII, da Lei n. 8.009/1990"
717,OK,,"O Ministério Público tem legitimidade ativa para ajuizar ação de alimentos em proveito de criança ou adolescente. A legitimidade do Ministério Público independe do exercício do poder familiar dos pais, ou de o menor se encontrar nas situações de risco descritas no art. 98 do Estatuto da Criança e do Adolescente, ou de quaisquer outros questionamentos acerca da existência ou eficiência da Defensoria Pública na comarca."
721,OK,,"A renúncia ao valor excedente ao previsto no art. 87 do ADCT, manifestada após a propositura da demanda executiva, não autoriza o arbitramento dos honorários, porquanto, à luz do princípio da causalidade, a Fazenda Pública não provocou a instauração da Execução, uma vez que se revelava inicialmente impositiva a observância do art. 730 CPC, segundo a sistemática do pagamento de precatórios. Como não foram opostos Embargos à Execução, tem, portanto, plena aplicação o art. 1°- D da Lei 9.494/1997."
723,OK,,"A sentença proferida pelo Juízo da 12ª Vara Cível da Circunscrição Especial Judiciária de Brasília/DF, na ação civil coletiva nº 1998.01.1.016798-9, que condenou o Banco do Brasil ao pagamento de diferenças decorrentes de expurgos inflacionários sobre cadernetas de poupança ocorridos em janeiro de 1989 (Plano Verão), é aplicável, por força da coisa julgada, indistintamente a todos os detentores de caderneta de poupança do Banco do Brasil, independentemente de sua residência ou domicílio no Distrito Federal, reconhecendo-se ao beneficiário o direito de ajuizar o cumprimento individual da sentença coletiva no Juízo de seu domicílio ou no Distrito Federal."
724,OK,,"Os poupadores ou seus sucessores detêm legitimidade ativa - também por força da coisa julgada -, independentemente de fazerem parte ou não dos quadros associativos do IDEC, de ajuizarem o cumprimento individual da sentença coletiva proferida na ação civil pública nº 1998.01.1.016798-9 pelo Juízo da 12ª Vara Cível da Circunscrição Especial Judiciária de Brasília/DF."
742,OK,,"É nula, por configurar julgamento extra petita, a decisão que condena a parte ré, de ofício, em ação individual, ao pagamento de indenização a título de danos sociais em favor de terceiro estranho à lide."
743,OK,,"A multa diária prevista no § 4º do art. 461 do CPC, devida desde o dia em que configurado o descumprimento, quando fixada em antecipação de tutela, somente poderá ser objeto de execução provisória após a sua confirmação pela sentença de mérito e desde que o recurso eventualmente interposto não seja recebido com efeito suspensivo."
766,OK,,"O Ministério Público é parte legítima para pleitear tratamento médico ou entrega de medicamentos nas demandas de saúde propostas contra os entes federativos, mesmo quando se tratar de feitos contendo beneficiários individualizados, porque se refere a direitos individuais indisponíveis, na forma do art. 1º da Lei n. 8.625/1993 (Lei Orgânica Nacional do Ministério Público)."
769,OK,,"I - A necessidade de esgotamento das diligências como requisito para a penhora de faturamento foi afastada após a reforma do CPC/1973 pela Lei 11.382/2006; II - No regime do CPC/2015, a penhora de faturamento, listada em décimo lugar na ordem preferencial de bens passíveis de constrição judicial, poderá ser deferida após a demonstração da inexistência dos bens classificados em posição superior, ou, alternativamente, se houver constatação, pelo juiz, de que tais bens são de difícil alienação; finalmente, a constrição judicial sobre o faturamento empresarial poderá ocorrer sem a observância da ordem de classificação estabelecida em lei, se a autoridade judicial, conforme as circunstâncias do caso concreto, assim o entender (art. 835, § 1º, do CPC/2015), justificando-a por decisão devidamente fundamentada; III - A penhora de faturamento não pode ser equiparada à constrição sobre dinheiro; IV - Na aplicação do princípio da menor onerosidade (art. 805, parágrafo único, do CPC/2015; art. 620, do CPC/1973): a) autoridade judicial deverá estabelecer percentual que não inviabilize o prosseguimento das atividades empresariais; e b) a decisão deve se reportar aos elementos probatórios concretos trazidos pelo devedor, não sendo lícito à autoridade judicial empregar o referido princípio em abstrato ou com base em simples alegações genéricas do executado."
794,OK,,"É competente o Juízo do local em que situada a sede da entidade organizadora de campeonato esportivo de caráter nacional para todos os processos de ações ajuizadas em vários Juízos e Juizados Especiais, situados em lugares diversos do país, questionando a mesma matéria central, relativa à validade e à execução de decisões da Justiça Desportiva, visto que a entidade esportiva de caráter nacional, responsável, individual ou conjuntamente com quaisquer outras entidades, pela organização (no caso, a CBF), deve, necessariamente, inclusive por decisão de ofício, integrar o pólo passivo das demandas, sob pena de não vir ela ser ser ela atingida pelos efeitos subjetivos da coisa julgada, e de tornar-se o julgado desprovido de efetividade."
869,OK,,"Nos termos do artigo 219, caput e § 1º, do CPC e de acordo com a jurisprudência consolidada desta Corte, exceto nas hipóteses dos incisos II e III do artigo 267 do CPC, a citação válida em processo extinto sem julgamento do mérito importa na interrupção do prazo prescricional, que volta a correr com o trânsito em julgado da sentença de extinção do processo."
870,OK,,"A citação válida em processo extinto sem julgamento do mérito importa na interrupção do prazo prescricional, que volta a correr com o trânsito em julgado da sentença de extinção do processo."
871,OK,,"Na fase autônoma de liquidação de sentença (por arbitramento ou por artigos), incumbe ao devedor a antecipação dos honorários periciais."
872,OK,,"Nos Embargos de Terceiro cujo pedido foi acolhido para desconstituir a constrição judicial, os honorários advocatícios serão arbitrados com base no princípio da causalidade, responsabilizando-se o atual proprietário (embargante), se este não atualizou os dados cadastrais. Os encargos de sucumbência serão suportados pela parte embargada, porém, na hipótese em que esta, depois de tomar ciência da transmissão do bem, apresentar ou insistir na impugnação ou recurso para manter a penhora sobre o bem cujo domínio foi transferido para terceiro."
874,OK,,"O Banco do Brasil, na condição de mero operador e gestor do Cadastro de Emitentes de Cheques sem Fundos - CCF, não detém legitimidade passiva para responder por danos resultantes da ausência de notificação prévia do correntista acerca de sua inscrição no referido cadastro, obrigação que incumbe ao banco sacado, junto ao qual o correntista mantém relação contratual."
875,OK,,"Exceto nos casos de invalidez permanente notória, ou naqueles em que o conhecimento anterior resulte comprovado na fase de instrução, a ciência inequívoca do caráter permanente da invalidez depende de laudo médico."
876,OK,,"Em ações de execução fiscal, descabe indeferir a petição inicial sob o argumento da falta de indicação do CPF e/ou RG da parte executada (pessoa física), visto tratar-se de requisito não previsto no art. 6º da Lei nº 6.830/80 (LEF), cujo diploma, por sua especialidade, ostenta primazia sobre a legislação de cunho geral, como ocorre frente à exigência contida no art. 15 da Lei nº 11.419/06.Em ações de execução fiscal, descabe indeferir a petição inicial sob o argumento da falta de indicação do CNPJ da parte executada (pessoa jurídica), visto tratar-se de requisito não previsto no art. 6º da Lei nº 6.830/80 (LEF), cujo diploma, por sua especialidade, ostenta primazia sobre a legislação de cunho geral, como ocorre frente à exigência contida no art. 15 da Lei nº 11.419/06."
877,OK,,"O prazo prescricional para a execução individual é contado do trânsito em julgado da sentença coletiva, sendo desnecessária a providência de que trata o art. 94 da Lei n.8.078/90."
879,OK,,"Não há, em regra, interesse jurídico da Aneel (Agência Nacional de Energia Elétrica) para figurar como ré ou assistente simples de Ação de Repetição de Indébito relativa a valores cobrados por força de contrato de fornecimento de energia elétrica celebrado entre usuário do serviço e concessionária do serviço público."
880,OK,,"""A partir da vigência da Lei n. 10.444/2002, que incluiu o § 1º ao art. 604, dispositivo que foi sucedido, conforme Lei n. 11.232/2005, pelo art. 475-B, §§ 1º e 2º, todos do CPC/1973, não é mais imprescindível, para acertamento da conta exequenda, a juntada de documentos pela parte executada, ainda que esteja pendente de envio eventual documentação requisitada pelo juízo ao devedor, que não tenha havido dita requisição, por qualquer motivo, ou mesmo que a documentação tenha sido encaminhada de forma incompleta pelo executado. Assim, sob a égide do diploma legal citado e para as decisões transitadas em julgado sob a vigência do CPC/1973, a demora, independentemente do seu motivo, para juntada das fichas financeiras ou outros documentos correlatos aos autos da execução, ainda que sob a responsabilidade do devedor ente público, não obsta o transcurso do lapso prescricional executório, nos termos da Súmula 150/STF""."
